epoch,loss,val_loss
0,1297.3759982255726,1190.6415544139236
1,1236.1585762069301,1186.0084691995824
2,1229.4374899268657,1189.5889705630309
3,1224.1569455648339,1173.5510978523507
4,1223.0845290113527,1176.3477124510255
5,1221.6619303791626,1174.9921072206921
6,1219.0125865758023,1181.2418950180663
7,1216.2192784960025,1167.4154055067982
8,1215.9882620825238,1182.0999299088296
9,1215.660211853183,1167.1809158165165
10,1214.9080350708941,1166.1967085315257
11,1212.1918135702153,1166.6068721939678
12,1213.740859557535,1161.8115736456939
13,1210.3892321072094,1163.4862955873937
14,1211.0376995284373,1160.2991516276959
15,1209.1935293866904,1158.74930474081
16,1208.9943133721233,1182.4203095940115
17,1208.9529994552988,1156.0425329489692
18,1205.7146383462159,1158.7788516941673
19,1204.9716470567676,1176.3062462552095
20,1204.430883091592,1158.026642426674
21,1204.1420478788391,1155.1951626889393
22,1201.5816652464887,1159.9272950832828
23,1203.6431812944306,1156.4038772633651
24,1202.024014365197,1158.0389012672313
25,1199.4686553488368,1165.2892689917719
26,1198.2810831385948,1159.1313732124834
27,1197.0068958966328,1153.9693498308861
28,1197.2570195874625,1153.7675602502218
29,1196.5834309619265,1157.020139543451
30,1194.9640956285552,1167.8881714881659
31,1197.2915145886986,1160.2122679506983
32,1195.2717766903575,1154.3265239222419
33,1194.5360724774071,1157.6994635356079
34,1193.1132174729289,1158.2372514132062
35,1192.3075926463889,1156.9590047648876
36,1191.7421836626154,1157.3563842400708
37,1192.6158413169944,1157.6679167721543
38,1192.442331455072,1192.7141054843851
39,1191.587973141731,1156.043580514691
40,1192.7228482229384,1153.5288764012271
41,1191.7617810361955,1155.5869194622064
42,1189.8547740148708,1152.8346574616862
43,1190.8843549211449,1161.1588144651041
44,1188.7524064679012,1154.1535321877727
45,1187.8279174571333,1164.5183396488937
46,1190.2448750692804,1158.6063667542271
47,1188.5058512983428,1153.3075374300126
48,1188.2151421973942,1170.7071990557606
49,1187.5937709111527,1154.0957907000695
50,1187.7638023720015,1161.8178862232994
51,1188.7802225402988,1153.6809860904862
52,1186.5060357131892,1158.5024960580199
53,1184.6205575014437,1166.9127051026278
54,1187.1006989199525,1152.2394663137666
55,1187.6484669804472,1152.1776663860203
56,1184.2202608794,1150.2507332969774
57,1187.1001751299318,1156.6452420276739
58,1186.4623074851606,1153.9292728570024
59,1186.7045127201,1175.7954204532891
60,1183.4112488026324,1151.6600990993263
61,1184.6030722126277,1149.2760585323761
62,1184.7792298374484,1154.4645516829296
63,1183.0529714760987,1159.0592535578166
64,1181.4927881025317,1163.2168525542049
65,1184.3512687196951,1156.1453874502579
66,1184.3751631795903,1150.4079459810005
67,1183.7026858982031,1154.268377057904
68,1182.860692908223,1154.3334547597433
69,1181.0190559588152,1158.0817501346751
70,1182.2145408299787,1149.8288978127157
71,1181.9331442185551,1155.182242471863
72,1181.1685423158242,1164.8076849042257
73,1182.0847272978258,1155.6196630093175
74,1182.8843807003309,1157.1032569803617
75,1181.2665801716741,1153.9296347442855
76,1181.9376235611883,1154.9562987924726
77,1181.3206507991508,1155.0393196537229
